# n      x1       x2       g1      g2      eps

4640000  0.785101  0.61541  0.123646  0.194776  0.194091
4650000  0.785561  0.616135  0.123279  0.19431  0.193336
4660000  0.78602  0.616858  0.122913  0.193846  0.192585
4670000  0.786477  0.617579  0.122549  0.193383  0.191838
4680000  0.786933  0.618299  0.122186  0.192922  0.191094
4690000  0.787387  0.619016  0.121825  0.192463  0.190353
4700000  0.78784  0.619733  0.121466  0.192005  0.189615
4710000  0.788292  0.620447  0.121108  0.191548  0.188881
4720000  0.788743  0.62116  0.120752  0.191093  0.18815
4730000  0.789192  0.621871  0.120397  0.19064  0.187422
4740000  0.78964  0.62258  0.120044  0.190188  0.186697
4750000  0.790086  0.623288  0.119692  0.189738  0.185976
4760000  0.790532  0.623994  0.119342  0.189289  0.185258
